id,category,error_name,error_code,symptoms,probable_causes,step_1,step_2,step_3,verification,risk,sources
BSOD-021,BSOD,UNMOUNTABLE_BOOT_VOLUME,UNMOUNTABLE_BOOT_VOLUME,System crashes to BSOD with UNMOUNTABLE_BOOT_VOLUME when starting application,Overheating or hardware incompatibility,Boot into Safe Mode; run System File Checker: `sfc /scannow`,Update or roll back the suspected device driver via Device Manager,Run memory diagnostic (Windows Memory Diagnostic) and test RAM,Reboot and confirm no BSOD occurs for multiple restarts; check Event Viewer for cleared error.,high,Microsoft Support / Vendor KB (paraphrased)
BSOD-022,BSOD,WHEA_UNCORRECTABLE_ERROR,WHEA_UNCORRECTABLE_ERROR,System crashes to BSOD with WHEA_UNCORRECTABLE_ERROR when starting application,Faulty or outdated device driver,Update or roll back the suspected device driver via Device Manager,Run DISM to repair component store: `DISM /Online /Cleanup-Image /RestoreHealth`,"Check disk: `chkdsk /f /r`, and ensure backups",Reboot and confirm no BSOD occurs for multiple restarts; check Event Viewer for cleared error.,high,Microsoft Support / Vendor KB (paraphrased)
BSOD-023,BSOD,Critical process died,CRITICAL_PROCESS_DIED,Random restart and BSOD showing Critical process died code CRITICAL_PROCESS_DIED,Disk errors or file system corruption,Boot into Safe Mode; run System File Checker: `sfc /scannow`,"Check disk: `chkdsk /f /r`, and ensure backups",Run DISM to repair component store: `DISM /Online /Cleanup-Image /RestoreHealth`,Reboot and confirm no BSOD occurs for multiple restarts; check Event Viewer for cleared error.,medium,Microsoft Support / Vendor KB (paraphrased)
BSOD-024,BSOD,PFN_LIST_CORRUPT,PFN_LIST_CORRUPT,Blue screen displaying PFN_LIST_CORRUPT (PFN_LIST_CORRUPT) after boot,Faulty or outdated device driver,"Check disk: `chkdsk /f /r`, and ensure backups",Boot into Safe Mode; run System File Checker: `sfc /scannow`,Run memory diagnostic (Windows Memory Diagnostic) and test RAM,Reboot and confirm no BSOD occurs for multiple restarts; check Event Viewer for cleared error.,high,Microsoft Support / Vendor KB (paraphrased)
BSOD-025,BSOD,VIDEO_TDR_FAILURE,VIDEO_TDR_FAILURE,Blue screen displaying VIDEO_TDR_FAILURE (VIDEO_TDR_FAILURE) after boot,Overheating or hardware incompatibility,Run DISM to repair component store: `DISM /Online /Cleanup-Image /RestoreHealth`,"Check disk: `chkdsk /f /r`, and ensure backups",Update or roll back the suspected device driver via Device Manager,Reboot and confirm no BSOD occurs for multiple restarts; check Event Viewer for cleared error.,medium,Microsoft Support / Vendor KB (paraphrased)
BSOD-026,BSOD,CRITICAL_STRUCTURE_CORRUPTION,CRITICAL_STRUCTURE_CORRUPTION,System crashes to BSOD with CRITICAL_STRUCTURE_CORRUPTION when starting application,Bad RAM or memory corruption,"Check disk: `chkdsk /f /r`, and ensure backups",Run memory diagnostic (Windows Memory Diagnostic) and test RAM,Boot into Safe Mode; run System File Checker: `sfc /scannow`,Reboot and confirm no BSOD occurs for multiple restarts; check Event Viewer for cleared error.,high,Microsoft Support / Vendor KB (paraphrased)
BSOD-027,BSOD,INACCESSIBLE_BOOT_DEVICE,INACCESSIBLE_BOOT_DEVICE,Random restart and BSOD showing INACCESSIBLE_BOOT_DEVICE code INACCESSIBLE_BOOT_DEVICE,Disk errors or file system corruption,Update or roll back the suspected device driver via Device Manager,Run memory diagnostic (Windows Memory Diagnostic) and test RAM,"Check disk: `chkdsk /f /r`, and ensure backups",Reboot and confirm no BSOD occurs for multiple restarts; check Event Viewer for cleared error.,medium,Microsoft Support / Vendor KB (paraphrased)
BSOD-028,BSOD,SYSTEM_SERVICE_EXCEPTION,SYSTEM_SERVICE_EXCEPTION,System crashes to BSOD with SYSTEM_SERVICE_EXCEPTION when starting application,Faulty or outdated device driver,Boot into Safe Mode; run System File Checker: `sfc /scannow`,Update or roll back the suspected device driver via Device Manager,"Check disk: `chkdsk /f /r`, and ensure backups",Reboot and confirm no BSOD occurs for multiple restarts; check Event Viewer for cleared error.,high,Microsoft Support / Vendor KB (paraphrased)
BSOD-029,BSOD,CRITICAL_STRUCTURE_CORRUPTION,CRITICAL_STRUCTURE_CORRUPTION,System crashes to BSOD with CRITICAL_STRUCTURE_CORRUPTION when starting application,Overheating or hardware incompatibility,Run DISM to repair component store: `DISM /Online /Cleanup-Image /RestoreHealth`,Boot into Safe Mode; run System File Checker: `sfc /scannow`,Run memory diagnostic (Windows Memory Diagnostic) and test RAM,Reboot and confirm no BSOD occurs for multiple restarts; check Event Viewer for cleared error.,high,Microsoft Support / Vendor KB (paraphrased)
BSOD-030,BSOD,IRQL_NOT_LESS_OR_EQUAL,IRQL_NOT_LESS_OR_EQUAL,System crashes to BSOD with IRQL_NOT_LESS_OR_EQUAL when starting application,Corrupted system files or recent update,Boot into Safe Mode; run System File Checker: `sfc /scannow`,Update or roll back the suspected device driver via Device Manager,"Check disk: `chkdsk /f /r`, and ensure backups",Reboot and confirm no BSOD occurs for multiple restarts; check Event Viewer for cleared error.,high,Microsoft Support / Vendor KB (paraphrased)
BSOD-031,BSOD,PFN_LIST_CORRUPT,PFN_LIST_CORRUPT,Random restart and BSOD showing PFN_LIST_CORRUPT code PFN_LIST_CORRUPT,Disk errors or file system corruption,Run DISM to repair component store: `DISM /Online /Cleanup-Image /RestoreHealth`,"Check disk: `chkdsk /f /r`, and ensure backups",Update or roll back the suspected device driver via Device Manager,Reboot and confirm no BSOD occurs for multiple restarts; check Event Viewer for cleared error.,high,Microsoft Support / Vendor KB (paraphrased)
BSOD-032,BSOD,DRIVER_POWER_STATE_FAILURE,DRIVER_POWER_STATE_FAILURE,Crash with message DRIVER_POWER_STATE_FAILURE during driver update,Faulty or outdated device driver,Run memory diagnostic (Windows Memory Diagnostic) and test RAM,"Check disk: `chkdsk /f /r`, and ensure backups",Boot into Safe Mode; run System File Checker: `sfc /scannow`,Reboot and confirm no BSOD occurs for multiple restarts; check Event Viewer for cleared error.,low,Microsoft Support / Vendor KB (paraphrased)
BSOD-033,BSOD,SYSTEM_SERVICE_EXCEPTION,SYSTEM_SERVICE_EXCEPTION,Crash with message SYSTEM_SERVICE_EXCEPTION during driver update,Bad RAM or memory corruption,Run memory diagnostic (Windows Memory Diagnostic) and test RAM,"Check disk: `chkdsk /f /r`, and ensure backups",Run DISM to repair component store: `DISM /Online /Cleanup-Image /RestoreHealth`,Reboot and confirm no BSOD occurs for multiple restarts; check Event Viewer for cleared error.,high,Microsoft Support / Vendor KB (paraphrased)
BSOD-034,BSOD,IRQL_NOT_LESS_OR_EQUAL,IRQL_NOT_LESS_OR_EQUAL,Blue screen displaying IRQL_NOT_LESS_OR_EQUAL (IRQL_NOT_LESS_OR_EQUAL) after boot,Corrupted system files or recent update,Run memory diagnostic (Windows Memory Diagnostic) and test RAM,Update or roll back the suspected device driver via Device Manager,Boot into Safe Mode; run System File Checker: `sfc /scannow`,Reboot and confirm no BSOD occurs for multiple restarts; check Event Viewer for cleared error.,low,Microsoft Support / Vendor KB (paraphrased)
BSOD-035,BSOD,INACCESSIBLE_BOOT_DEVICE,INACCESSIBLE_BOOT_DEVICE,System crashes to BSOD with INACCESSIBLE_BOOT_DEVICE when starting application,Overheating or hardware incompatibility,Run memory diagnostic (Windows Memory Diagnostic) and test RAM,Run DISM to repair component store: `DISM /Online /Cleanup-Image /RestoreHealth`,"Check disk: `chkdsk /f /r`, and ensure backups",Reboot and confirm no BSOD occurs for multiple restarts; check Event Viewer for cleared error.,low,Microsoft Support / Vendor KB (paraphrased)
BSOD-036,BSOD,UNMOUNTABLE_BOOT_VOLUME,UNMOUNTABLE_BOOT_VOLUME,Crash with message UNMOUNTABLE_BOOT_VOLUME during driver update,Faulty or outdated device driver,Boot into Safe Mode; run System File Checker: `sfc /scannow`,Run memory diagnostic (Windows Memory Diagnostic) and test RAM,Update or roll back the suspected device driver via Device Manager,Reboot and confirm no BSOD occurs for multiple restarts; check Event Viewer for cleared error.,low,Microsoft Support / Vendor KB (paraphrased)
BSOD-037,BSOD,IRQL_NOT_LESS_OR_EQUAL,IRQL_NOT_LESS_OR_EQUAL,Blue screen displaying IRQL_NOT_LESS_OR_EQUAL (IRQL_NOT_LESS_OR_EQUAL) after boot,Corrupted system files or recent update,Run DISM to repair component store: `DISM /Online /Cleanup-Image /RestoreHealth`,"Check disk: `chkdsk /f /r`, and ensure backups",Run memory diagnostic (Windows Memory Diagnostic) and test RAM,Reboot and confirm no BSOD occurs for multiple restarts; check Event Viewer for cleared error.,medium,Microsoft Support / Vendor KB (paraphrased)
BSOD-038,BSOD,VIDEO_TDR_FAILURE,VIDEO_TDR_FAILURE,System crashes to BSOD with VIDEO_TDR_FAILURE when starting application,Disk errors or file system corruption,Boot into Safe Mode; run System File Checker: `sfc /scannow`,Run DISM to repair component store: `DISM /Online /Cleanup-Image /RestoreHealth`,Run memory diagnostic (Windows Memory Diagnostic) and test RAM,Reboot and confirm no BSOD occurs for multiple restarts; check Event Viewer for cleared error.,low,Microsoft Support / Vendor KB (paraphrased)
BSOD-039,BSOD,DPC_WATCHDOG_VIOLATION,DPC_WATCHDOG_VIOLATION,Random restart and BSOD showing DPC_WATCHDOG_VIOLATION code DPC_WATCHDOG_VIOLATION,Disk errors or file system corruption,Update or roll back the suspected device driver via Device Manager,Run memory diagnostic (Windows Memory Diagnostic) and test RAM,"Check disk: `chkdsk /f /r`, and ensure backups",Reboot and confirm no BSOD occurs for multiple restarts; check Event Viewer for cleared error.,high,Microsoft Support / Vendor KB (paraphrased)
BSOD-040,BSOD,CRITICAL_STRUCTURE_CORRUPTION,CRITICAL_STRUCTURE_CORRUPTION,Crash with message CRITICAL_STRUCTURE_CORRUPTION during driver update,Faulty or outdated device driver,Run DISM to repair component store: `DISM /Online /Cleanup-Image /RestoreHealth`,Update or roll back the suspected device driver via Device Manager,Boot into Safe Mode; run System File Checker: `sfc /scannow`,Reboot and confirm no BSOD occurs for multiple restarts; check Event Viewer for cleared error.,low,Microsoft Support / Vendor KB (paraphrased)
BSOD-041,BSOD,DRIVER_POWER_STATE_FAILURE,DRIVER_POWER_STATE_FAILURE,Blue screen displaying DRIVER_POWER_STATE_FAILURE (DRIVER_POWER_STATE_FAILURE) after boot,Bad RAM or memory corruption,Boot into Safe Mode; run System File Checker: `sfc /scannow`,"Check disk: `chkdsk /f /r`, and ensure backups",Update or roll back the suspected device driver via Device Manager,Reboot and confirm no BSOD occurs for multiple restarts; check Event Viewer for cleared error.,medium,Microsoft Support / Vendor KB (paraphrased)
BSOD-042,BSOD,NTFS_FILE_SYSTEM,NTFS_FILE_SYSTEM,System crashes to BSOD with NTFS_FILE_SYSTEM when starting application,Corrupted system files or recent update,"Check disk: `chkdsk /f /r`, and ensure backups",Boot into Safe Mode; run System File Checker: `sfc /scannow`,Run memory diagnostic (Windows Memory Diagnostic) and test RAM,Reboot and confirm no BSOD occurs for multiple restarts; check Event Viewer for cleared error.,low,Microsoft Support / Vendor KB (paraphrased)
BSOD-043,BSOD,WHEA_UNCORRECTABLE_ERROR,WHEA_UNCORRECTABLE_ERROR,Blue screen displaying WHEA_UNCORRECTABLE_ERROR (WHEA_UNCORRECTABLE_ERROR) after boot,Faulty or outdated device driver,Run memory diagnostic (Windows Memory Diagnostic) and test RAM,Boot into Safe Mode; run System File Checker: `sfc /scannow`,Update or roll back the suspected device driver via Device Manager,Reboot and confirm no BSOD occurs for multiple restarts; check Event Viewer for cleared error.,low,Microsoft Support / Vendor KB (paraphrased)
BSOD-044,BSOD,DRIVER_POWER_STATE_FAILURE,DRIVER_POWER_STATE_FAILURE,Blue screen displaying DRIVER_POWER_STATE_FAILURE (DRIVER_POWER_STATE_FAILURE) after boot,Overheating or hardware incompatibility,Boot into Safe Mode; run System File Checker: `sfc /scannow`,Run memory diagnostic (Windows Memory Diagnostic) and test RAM,Update or roll back the suspected device driver via Device Manager,Reboot and confirm no BSOD occurs for multiple restarts; check Event Viewer for cleared error.,high,Microsoft Support / Vendor KB (paraphrased)
BSOD-045,BSOD,DRIVER_POWER_STATE_FAILURE,DRIVER_POWER_STATE_FAILURE,Random restart and BSOD showing DRIVER_POWER_STATE_FAILURE code DRIVER_POWER_STATE_FAILURE,Bad RAM or memory corruption,Run DISM to repair component store: `DISM /Online /Cleanup-Image /RestoreHealth`,Update or roll back the suspected device driver via Device Manager,Boot into Safe Mode; run System File Checker: `sfc /scannow`,Reboot and confirm no BSOD occurs for multiple restarts; check Event Viewer for cleared error.,medium,Microsoft Support / Vendor KB (paraphrased)
BSOD-046,BSOD,DPC_WATCHDOG_VIOLATION,DPC_WATCHDOG_VIOLATION,System crashes to BSOD with DPC_WATCHDOG_VIOLATION when starting application,Bad RAM or memory corruption,Run memory diagnostic (Windows Memory Diagnostic) and test RAM,Update or roll back the suspected device driver via Device Manager,Boot into Safe Mode; run System File Checker: `sfc /scannow`,Reboot and confirm no BSOD occurs for multiple restarts; check Event Viewer for cleared error.,low,Microsoft Support / Vendor KB (paraphrased)
BSOD-047,BSOD,KMODE_EXCEPTION_NOT_HANDLED,KMODE_EXCEPTION_NOT_HANDLED,Blue screen displaying KMODE_EXCEPTION_NOT_HANDLED (KMODE_EXCEPTION_NOT_HANDLED) after boot,Corrupted system files or recent update,"Check disk: `chkdsk /f /r`, and ensure backups",Run DISM to repair component store: `DISM /Online /Cleanup-Image /RestoreHealth`,Update or roll back the suspected device driver via Device Manager,Reboot and confirm no BSOD occurs for multiple restarts; check Event Viewer for cleared error.,medium,Microsoft Support / Vendor KB (paraphrased)
BSOD-048,BSOD,KERNEL_SECURITY_CHECK_FAILURE,KERNEL_SECURITY_CHECK_FAILURE,Random restart and BSOD showing KERNEL_SECURITY_CHECK_FAILURE code KERNEL_SECURITY_CHECK_FAILURE,Corrupted system files or recent update,Run DISM to repair component store: `DISM /Online /Cleanup-Image /RestoreHealth`,Update or roll back the suspected device driver via Device Manager,"Check disk: `chkdsk /f /r`, and ensure backups",Reboot and confirm no BSOD occurs for multiple restarts; check Event Viewer for cleared error.,low,Microsoft Support / Vendor KB (paraphrased)
BSOD-049,BSOD,KMODE_EXCEPTION_NOT_HANDLED,KMODE_EXCEPTION_NOT_HANDLED,Random restart and BSOD showing KMODE_EXCEPTION_NOT_HANDLED code KMODE_EXCEPTION_NOT_HANDLED,Overheating or hardware incompatibility,"Check disk: `chkdsk /f /r`, and ensure backups",Boot into Safe Mode; run System File Checker: `sfc /scannow`,Update or roll back the suspected device driver via Device Manager,Reboot and confirm no BSOD occurs for multiple restarts; check Event Viewer for cleared error.,high,Microsoft Support / Vendor KB (paraphrased)
BSOD-050,BSOD,BAD_POOL_HEADER,BAD_POOL_HEADER,Blue screen displaying BAD_POOL_HEADER (BAD_POOL_HEADER) after boot,Faulty or outdated device driver,Update or roll back the suspected device driver via Device Manager,Boot into Safe Mode; run System File Checker: `sfc /scannow`,Run memory diagnostic (Windows Memory Diagnostic) and test RAM,Reboot and confirm no BSOD occurs for multiple restarts; check Event Viewer for cleared error.,high,Microsoft Support / Vendor KB (paraphrased)
BSOD-051,BSOD,CRITICAL_STRUCTURE_CORRUPTION,CRITICAL_STRUCTURE_CORRUPTION,System crashes to BSOD with CRITICAL_STRUCTURE_CORRUPTION when starting application,Bad RAM or memory corruption,Update or roll back the suspected device driver via Device Manager,Run DISM to repair component store: `DISM /Online /Cleanup-Image /RestoreHealth`,"Check disk: `chkdsk /f /r`, and ensure backups",Reboot and confirm no BSOD occurs for multiple restarts; check Event Viewer for cleared error.,medium,Microsoft Support / Vendor KB (paraphrased)
BSOD-052,BSOD,INACCESSIBLE_BOOT_DEVICE,INACCESSIBLE_BOOT_DEVICE,Random restart and BSOD showing INACCESSIBLE_BOOT_DEVICE code INACCESSIBLE_BOOT_DEVICE,Overheating or hardware incompatibility,Run memory diagnostic (Windows Memory Diagnostic) and test RAM,Update or roll back the suspected device driver via Device Manager,Boot into Safe Mode; run System File Checker: `sfc /scannow`,Reboot and confirm no BSOD occurs for multiple restarts; check Event Viewer for cleared error.,low,Microsoft Support / Vendor KB (paraphrased)
BSOD-053,BSOD,THREAD_STUCK_IN_DEVICE_DRIVER,THREAD_STUCK_IN_DEVICE_DRIVER,Random restart and BSOD showing THREAD_STUCK_IN_DEVICE_DRIVER code THREAD_STUCK_IN_DEVICE_DRIVER,Corrupted system files or recent update,Boot into Safe Mode; run System File Checker: `sfc /scannow`,Update or roll back the suspected device driver via Device Manager,"Check disk: `chkdsk /f /r`, and ensure backups",Reboot and confirm no BSOD occurs for multiple restarts; check Event Viewer for cleared error.,high,Microsoft Support / Vendor KB (paraphrased)
BSOD-054,BSOD,UNMOUNTABLE_BOOT_VOLUME,UNMOUNTABLE_BOOT_VOLUME,System crashes to BSOD with UNMOUNTABLE_BOOT_VOLUME when starting application,Disk errors or file system corruption,"Check disk: `chkdsk /f /r`, and ensure backups",Run memory diagnostic (Windows Memory Diagnostic) and test RAM,Update or roll back the suspected device driver via Device Manager,Reboot and confirm no BSOD occurs for multiple restarts; check Event Viewer for cleared error.,low,Microsoft Support / Vendor KB (paraphrased)
